preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
drone_residual {'update': 24, 'best_loss': 1.987815642607745, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 25, 'best_loss': 1.987815642607745, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 26, 'best_loss': 1.9825169232672082, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 27, 'best_loss': 1.9825169232672082, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 28, 'best_loss': 1.9825169232672082, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 29, 'best_loss': 1.9825169232672082, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 30, 'best_loss': 1.9825169232672082, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 31, 'best_loss': 1.978575129459005, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 32, 'best_loss': 1.978575129459005, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 33, 'best_loss': 1.978575129459005, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 34, 'best_loss': 1.978575129459005, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 35, 'best_loss': 1.978575129459005, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 36, 'best_loss': 1.975495806232164, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 37, 'best_loss': 1.975495806232164, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 38, 'best_loss': 1.975495806232164, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 39, 'best_loss': 1.975495806232164, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 40, 'best_loss': 1.975495806232164, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 41, 'best_loss': 1.9727638757679944, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 42, 'best_loss': 1.9727638757679944, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 43, 'best_loss': 1.9727638757679944, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 44, 'best_loss': 1.9727638757679944, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 45, 'best_loss': 1.9727638757679944, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 46, 'best_loss': 1.9704915273351973, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 47, 'best_loss': 1.9704915273351973, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 48, 'best_loss': 1.9704915273351973, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 49, 'best_loss': 1.9704915273351973, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 50, 'best_loss': 1.9704915273351973, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 51, 'best_loss': 1.9684232899317053, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 52, 'best_loss': 1.9684232899317053, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 53, 'best_loss': 1.9684232899317053, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 54, 'best_loss': 1.9684232899317053, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 55, 'best_loss': 1.9684232899317053, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 56, 'best_loss': 1.9664192492725652, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 57, 'best_loss': 1.9664192492725652, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 58, 'best_loss': 1.9664192492725652, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 59, 'best_loss': 1.9664192492725652, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 60, 'best_loss': 1.9664192492725652, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 61, 'best_loss': 1.9645155429562229, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 62, 'best_loss': 1.9645155429562229, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 63, 'best_loss': 1.9645155429562229, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 64, 'best_loss': 1.9645155429562229, 'stopping': 'practical plateau; no update ceiling'}
