pass,candidate,log10_EI,log10_Cb,EI,Cb,objective,invalid,fig8_001_loss,fig8_002_loss,fig8vertical_001_loss,osc_001_loss,osc_002_loss
2,44,-3.8669830413439734,-1.8912982013490263,0.00013583664880629958,0.012844044413628892,0.0002839516382664442,False,0.00017051681061275303,0.00023193861125037074,0.00017184721946250647,0.0006341691478155553,0.00021128638763912022
2,45,-3.8669830413439734,-1.5804280214839288,0.00013583664880629958,0.026276769927849025,0.00047176607768051326,False,0.0004560752713587135,0.00038333272095769644,0.0003197383775841445,0.0006872001104056835,0.000512483820784837
2,46,-3.8669830413439734,-1.2695578416188313,0.00013583664880629958,0.053757883078358916,0.0003842075529973954,False,0.000267098774202168,0.00042191578540951014,0.00027485773898661137,0.0005260258330963552,0.0004311395459808409
2,47,-3.8669830413439734,-0.9586876617537339,0.00013583664880629958,0.10997965126618099,0.00035739605664275587,False,0.0002593113458715379,0.00033825341961346567,0.00029216252733021975,0.000509265810251236,0.0003879871510434896
2,48,-3.6989700043360187,-3.134778920809416,0.00020000000000000004,0.0007331976751078716,0.00011099564289906994,False,5.95031124248635e-05,0.00029349172837100923,5.8170873671770096e-05,8.50369906402193e-05,5.877552030142397e-05
2,49,-3.6989700043360187,-2.8239087409443187,0.00020000000000000004,0.0015000000000000005,9.186621173284948e-05,False,5.879098171135411e-05,0.00020026092533953488,5.788667476736009e-05,8.445746061624959e-05,5.793500895379111e-05
2,50,-3.6989700043360187,-2.513038561079221,0.00020000000000000004,0.003068749501516041,8.13567457953468e-05,False,5.817942655994557e-05,0.00013844102795701474,5.859838711330667e-05,9.332882473245263e-05,5.8236048062099144e-05
2,51,-3.6989700043360187,-2.2021683812141237,0.00020000000000000004,0.0062781490020366315,0.00014219745935406536,False,6.64571052766405e-05,0.00028936771559529006,7.908754923846573e-05,0.0001701488217804581,0.00010592609760351479
2,52,-3.6989700043360187,-1.8912982013490263,0.00020000000000000004,0.012844044413628892,0.00028563779778778553,False,0.00019043596694245934,0.0003311688778921962,0.00014911516336724162,0.0006188636180013418,0.0001386054209433496
2,53,-3.6989700043360187,-1.5804280214839288,0.00020000000000000004,0.026276769927849025,0.0004915772587992251,False,0.0004892171127721667,0.0003069849335588515,0.00039025439764373004,0.0007209405303001404,0.0005504893488250673
2,54,-3.6989700043360187,-1.2695578416188313,0.00020000000000000004,0.053757883078358916,0.00038714599213562906,False,0.00023225307813845575,0.0003711565223056823,0.00033425496076233685,0.0005743285873904824,0.00042373689939267933
2,55,-3.6989700043360187,-0.9586876617537339,0.00020000000000000004,0.10997965126618099,0.0003375545784365386,False,0.00024042050063144416,0.00031225747079588473,0.00027974118711426854,0.00047121316310949624,0.000384140555979684
2,56,-3.530956967328064,-3.134778920809416,0.00029447134003606954,0.0007331976751078716,0.00011017666111001745,False,5.941353447269648e-05,0.0002865209535229951,5.8582521887728944e-05,8.790224092081189e-05,5.8464062021812424e-05
2,57,-3.530956967328064,-2.8239087409443187,0.00029447134003606954,0.0015000000000000005,9.466024494031444e-05,False,5.907121521886438e-05,0.0002119097043760121,5.856889038113877e-05,8.535873348591849e-05,5.839267396368086e-05
2,58,-3.530956967328064,-2.513038561079221,0.00029447134003606954,0.003068749501516041,8.358642662642524e-05,False,5.8590278058545664e-05,0.00014793334412388504,5.900018732063472e-05,9.470256918575615e-05,5.7705714425537735e-05
2,59,-3.530956967328064,-2.2021683812141237,0.00029447134003606954,0.0062781490020366315,0.0001457974431104958,False,6.263016985030845e-05,0.0003161350323352963,7.774459663778543e-05,0.00018555087444838136,8.692652045283467e-05
2,60,-3.530956967328064,-1.8912982013490263,0.00029447134003606954,0.012844044413628892,0.0003685340634547174,False,0.00022507582616526634,0.0003858074778690934,0.0001785066706361249,0.0006260420195758343,0.00042723817750811577
2,61,-3.530956967328064,-1.5804280214839288,0.00029447134003606954,0.026276769927849025,0.00048491405323147774,False,0.0004175825451966375,0.00034399895230308175,0.0003650884609669447,0.0007389482343569398,0.0005589520442299545
2,62,-3.530956967328064,-1.2695578416188313,0.00029447134003606954,0.053757883078358916,0.000399396667489782,False,0.00028318224940449,0.00043414131505414844,0.0003019200812559575,0.0005599704454652965,0.0004177691589575261
2,63,-3.530956967328064,-0.9586876617537339,0.00029447134003606954,0.10997965126618099,0.0003595374582801014,False,0.00028948282124474645,0.0003561756166163832,0.0002756592584773898,0.0005122433067299426,0.00036412631743587554
