Evaluating frozen parent before any update {}
combined validation M0
[W914 21:33:23.000000000 Context.cpp:448] Warning: torch.backends.cuda.preferred_linalg_library is an experimental feature. If you see any error or unexpected behavior when this flag is set please file an issue on GitHub. (function operator ())
preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 80}
drone_residual {'update': 12, 'best_loss': 3.815135873029625, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 13, 'best_loss': 3.815135873029625, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 14, 'best_loss': 3.815135873029625, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 15, 'best_loss': 3.815135873029625, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 16, 'best_loss': 3.7173461105788155, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 17, 'best_loss': 3.7173461105788155, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 18, 'best_loss': 3.7173461105788155, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 19, 'best_loss': 3.7173461105788155, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 20, 'best_loss': 3.7173461105788155, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 21, 'best_loss': 3.645535233049584, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 22, 'best_loss': 3.645535233049584, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 23, 'best_loss': 3.645535233049584, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 24, 'best_loss': 3.645535233049584, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 25, 'best_loss': 3.645535233049584, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 26, 'best_loss': 3.587287527600534, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 27, 'best_loss': 3.587287527600534, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 28, 'best_loss': 3.587287527600534, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 29, 'best_loss': 3.587287527600534, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 30, 'best_loss': 3.587287527600534, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 31, 'best_loss': 3.5361534224587747, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 32, 'best_loss': 3.5361534224587747, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 33, 'best_loss': 3.5361534224587747, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 34, 'best_loss': 3.5361534224587747, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 35, 'best_loss': 3.5361534224587747, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 36, 'best_loss': 3.4919484543193198, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 37, 'best_loss': 3.4919484543193198, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 38, 'best_loss': 3.4919484543193198, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 39, 'best_loss': 3.4919484543193198, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 40, 'best_loss': 3.4919484543193198, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 41, 'best_loss': 3.455283192906347, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 42, 'best_loss': 3.455283192906347, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 43, 'best_loss': 3.455283192906347, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 44, 'best_loss': 3.455283192906347, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 45, 'best_loss': 3.455283192906347, 'stopping': 'practical plateau; no update ceiling'}
