preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
drone_residual {'update': 17, 'best_loss': 1.8709520563270021, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 18, 'best_loss': 1.8709520563270021, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 19, 'best_loss': 1.8709520563270021, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 20, 'best_loss': 1.8709520563270021, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 21, 'best_loss': 1.8684658285804774, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 22, 'best_loss': 1.8684658285804774, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 23, 'best_loss': 1.8684658285804774, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 24, 'best_loss': 1.8684658285804774, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 25, 'best_loss': 1.8684658285804774, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 26, 'best_loss': 1.8658872489860168, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 27, 'best_loss': 1.8658872489860168, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 28, 'best_loss': 1.8658872489860168, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 29, 'best_loss': 1.8658872489860168, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 30, 'best_loss': 1.8658872489860168, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 31, 'best_loss': 1.8640426747286802, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 32, 'best_loss': 1.8640426747286802, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 33, 'best_loss': 1.8640426747286802, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 34, 'best_loss': 1.8640426747286802, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 35, 'best_loss': 1.8640426747286802, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 36, 'best_loss': 1.862338012396461, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 37, 'best_loss': 1.862338012396461, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 38, 'best_loss': 1.862338012396461, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 39, 'best_loss': 1.862338012396461, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 40, 'best_loss': 1.862338012396461, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 41, 'best_loss': 1.8606043367123215, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 42, 'best_loss': 1.8606043367123215, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 43, 'best_loss': 1.8606043367123215, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 44, 'best_loss': 1.8606043367123215, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 45, 'best_loss': 1.8606043367123215, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 46, 'best_loss': 1.8589836797524653, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 47, 'best_loss': 1.8589836797524653, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 48, 'best_loss': 1.8589836797524653, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 49, 'best_loss': 1.8589836797524653, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 50, 'best_loss': 1.8589836797524653, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 51, 'best_loss': 1.8573951372119681, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 52, 'best_loss': 1.8573951372119681, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 53, 'best_loss': 1.8573951372119681, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 54, 'best_loss': 1.8573951372119681, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 55, 'best_loss': 1.8573951372119681, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 56, 'best_loss': 1.8558310327706116, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 57, 'best_loss': 1.8558310327706116, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 58, 'best_loss': 1.8558310327706116, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 59, 'best_loss': 1.8558310327706116, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 60, 'best_loss': 1.8558310327706116, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 61, 'best_loss': 1.8543071671281917, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 62, 'best_loss': 1.8543071671281917, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 63, 'best_loss': 1.8543071671281917, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 64, 'best_loss': 1.8543071671281917, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 65, 'best_loss': 1.8543071671281917, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 66, 'best_loss': 1.85278519889326, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 67, 'best_loss': 1.85278519889326, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 68, 'best_loss': 1.85278519889326, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 69, 'best_loss': 1.85278519889326, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 70, 'best_loss': 1.85278519889326, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 71, 'best_loss': 1.8512654258834287, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 72, 'best_loss': 1.8512654258834287, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 73, 'best_loss': 1.8512654258834287, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 74, 'best_loss': 1.8512654258834287, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 75, 'best_loss': 1.8512654258834287, 'stopping': 'practical plateau; no update ceiling'}
attitude response {'windows': 81}
attitude response {'update': 1, 'loss': 0.8165673976986432, 'best_loss': 0.8165673976986432}
attitude response {'update': 2, 'loss': 0.8165388453408993, 'best_loss': 0.8165388453408993}
attitude response {'update': 3, 'loss': 0.8165369686788682, 'best_loss': 0.8165369686788682}
attitude response {'update': 4, 'loss': 0.8165368394186145, 'best_loss': 0.8165368394186145}
cable_physics {'windows': 144, 'parameters': ['EI', 'Cb', 'external damping']}
cable_physics {'update': 1, 'loss': 0.9204043051911496, 'best_loss': 0.9204043051911496}
cable_physics {'update': 2, 'loss': 0.9184031013006038, 'best_loss': 0.9184031013006038}
cable_physics {'update': 3, 'loss': 0.9183289012687963, 'best_loss': 0.9183289012687963}
cable_physics {'update': 4, 'loss': 0.9182598975249472, 'best_loss': 0.9182598975249472}
cable_physics {'update': 5, 'loss': 0.9182423696582696, 'best_loss': 0.9182423696582696}
cable_physics {'update': 6, 'loss': 0.9182313036534179, 'best_loss': 0.9182313036534179}
cable_physics {'update': 7, 'loss': 0.9182291392030342, 'best_loss': 0.9182291392030342}
cable_residual graph preparation {'windows': 144}
cable_residual {'update': 1, 'best_loss': 0.9221423383417866, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 2, 'best_loss': 0.9221423383417866, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 3, 'best_loss': 0.9221423383417866, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 4, 'best_loss': 0.9221423383417866, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 5, 'best_loss': 0.9221423383417866, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 6, 'best_loss': 0.9081732845067411, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 7, 'best_loss': 0.9081732845067411, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 8, 'best_loss': 0.9081732845067411, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 9, 'best_loss': 0.9081732845067411, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 10, 'best_loss': 0.9081732845067411, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 11, 'best_loss': 0.9063526562871174, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 12, 'best_loss': 0.9063526562871174, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 13, 'best_loss': 0.9063526562871174, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 14, 'best_loss': 0.9063526562871174, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 15, 'best_loss': 0.9063526562871174, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 16, 'best_loss': 0.9045106879343439, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 17, 'best_loss': 0.9045106879343439, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 18, 'best_loss': 0.9045106879343439, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 19, 'best_loss': 0.9045106879343439, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 20, 'best_loss': 0.9045106879343439, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 21, 'best_loss': 0.9030054473634327, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 22, 'best_loss': 0.9030054473634327, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 23, 'best_loss': 0.9030054473634327, 'stopping': 'practical plateau; no update ceiling'}
