Evaluating frozen parent before any update {}
combined validation M6
[W915 19:28:16.000000000 Context.cpp:448] Warning: torch.backends.cuda.preferred_linalg_library is an experimental feature. If you see any error or unexpected behavior when this flag is set please file an issue on GitHub. (function operator ())
preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
drone_residual {'update': 3, 'best_loss': 3.5934418497983804, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 4, 'best_loss': 3.5934418497983804, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 5, 'best_loss': 3.5934418497983804, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 6, 'best_loss': 3.5060603897918923, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 7, 'best_loss': 3.5060603897918923, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 8, 'best_loss': 3.5060603897918923, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 9, 'best_loss': 3.5060603897918923, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 10, 'best_loss': 3.5060603897918923, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 11, 'best_loss': 3.4609466636079897, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 12, 'best_loss': 3.4609466636079897, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 13, 'best_loss': 3.4609466636079897, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 14, 'best_loss': 3.4609466636079897, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 15, 'best_loss': 3.4609466636079897, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 16, 'best_loss': 3.430662124445291, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 17, 'best_loss': 3.430662124445291, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 18, 'best_loss': 3.430662124445291, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 19, 'best_loss': 3.430662124445291, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 20, 'best_loss': 3.430662124445291, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 21, 'best_loss': 3.4116286563192575, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 22, 'best_loss': 3.4116286563192575, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 23, 'best_loss': 3.4116286563192575, 'stopping': 'practical plateau; no update ceiling'}
